267	2	12066	7.98	2007-05-14 13:44:29.996577
267	2	13713	0.00	2007-05-14 13:44:29.996577
269	1	13025	3.98	2007-05-14 13:44:29.996577
269	2	12610	0.00	2007-05-14 13:44:29.996577
274	1	13486	0.99	2007-05-14 13:44:29.996577
279	2	13538	4.99	2007-05-14 13:44:29.996577
282	2	15430	0.99	2007-05-14 13:44:29.996577
284	1	12064	5.98	2007-05-14 13:44:29.996577
284	2	12959	0.00	2007-05-14 13:44:29.996577
287	2	14204	0.99	2007-05-14 13:44:29.996577
295	2	15735	0.99	2007-05-14 13:44:29.996577
296	1	12009	2.99	2007-05-14 13:44:29.996577
300	1	15695	4.99	2007-05-14 13:44:29.996577
315	2	14426	2.99	2007-05-14 13:44:29.996577
317	1	12574	0.99	2007-05-14 13:44:29.996577
324	2	13965	2.99	2007-05-14 13:44:29.996577
327	1	15297	2.99	2007-05-14 13:44:29.996577
330	2	11709	2.99	2007-05-14 13:44:29.996577
334	1	14219	0.99	2007-05-14 13:44:29.996577
335	2	11541	0.99	2007-05-14 13:44:29.996577
336	1	13022	0.99	2007-05-14 13:44:29.996577
337	2	11847	0.99	2007-05-14 13:44:29.996577
349	1	14915	2.99	2007-05-14 13:44:29.996577
352	2	13578	2.99	2007-05-14 13:44:29.996577
354	1	12759	7.98	2007-05-14 13:44:29.996577
354	1	11782	0.00	2007-05-14 13:44:29.996577
355	1	14760	0.99	2007-05-14 13:44:29.996577
359	2	15655	4.99	2007-05-14 13:44:29.996577
361	1	13298	3.98	2007-05-14 13:44:29.996577
361	1	14769	0.00	2007-05-14 13:44:29.996577
366	1	13421	4.99	2007-05-14 13:44:29.996577
369	1	13898	0.99	2007-05-14 13:44:29.996577
373	1	11739	0.99	2007-05-14 13:44:29.996577
374	2	15966	2.99	2007-05-14 13:44:29.996577
388	1	12891	0.99	2007-05-14 13:44:29.996577
394	2	13178	4.99	2007-05-14 13:44:29.996577
405	1	12792	0.99	2007-05-14 13:44:29.996577
410	1	12665	2.99	2007-05-14 13:44:29.996577
411	2	13246	4.99	2007-05-14 13:44:29.996577
412	1	15314	0.99	2007-05-14 13:44:29.996577
417	2	13261	2.99	2007-05-14 13:44:29.996577
421	2	15710	0.99	2007-05-14 13:44:29.996577
422	2	15441	2.99	2007-05-14 13:44:29.996577
424	1	15094	0.99	2007-05-14 13:44:29.996577
431	2	13587	2.99	2007-05-14 13:44:29.996577
438	2	12524	0.99	2007-05-14 13:44:29.996577
440	1	13106	4.99	2007-05-14 13:44:29.996577
441	1	14878	4.99	2007-05-14 13:44:29.996577
448	2	14734	3.98	2007-05-14 13:44:29.996577
448	1	13577	0.00	2007-05-14 13:44:29.996577
450	1	14172	0.99	2007-05-14 13:44:29.996577
452	1	14175	4.99	2007-05-14 13:44:29.996577
457	1	12645	3.98	2007-05-14 13:44:29.996577
457	2	14516	0.00	2007-05-14 13:44:29.996577
472	2	14928	4.99	2007-05-14 13:44:29.996577
474	1	11909	0.99	2007-05-14 13:44:29.996577
476	1	13941	0.99	2007-05-14 13:44:29.996577
479	1	12101	0.99	2007-05-14 13:44:29.996577
493	2	14160	2.99	2007-05-14 13:44:29.996577
495	2	13753	0.99	2007-05-14 13:44:29.996577
496	1	13182	2.99	2007-05-14 13:44:29.996577
497	1	12698	4.99	2007-05-14 13:44:29.996577
505	2	15867	4.99	2007-05-14 13:44:29.996577
508	1	14318	0.99	2007-05-14 13:44:29.996577
512	1	12786	0.99	2007-05-14 13:44:29.996577
516	1	12130	5.98	2007-05-14 13:44:29.996577
516	1	12915	0.00	2007-05-14 13:44:29.996577
521	2	11672	4.99	2007-05-14 13:44:29.996577
525	1	14954	2.99	2007-05-14 13:44:29.996577
527	1	14267	2.99	2007-05-14 13:44:29.996577
530	1	13561	2.99	2007-05-14 13:44:29.996577
532	1	14616	0.99	2007-05-14 13:44:29.996577
533	2	14018	2.99	2007-05-14 13:44:29.996577
534	1	14526	2.99	2007-05-14 13:44:29.996577
537	1	13419	4.99	2007-05-14 13:44:29.996577
548	1	13584	0.99	2007-05-14 13:44:29.996577
550	2	11757	2.99	2007-05-14 13:44:29.996577
557	1	14278	4.99	2007-05-14 13:44:29.996577
560	2	12116	5.98	2007-05-14 13:44:29.996577
560	2	14425	0.00	2007-05-14 13:44:29.996577
561	1	14415	0.99	2007-05-14 13:44:29.996577
568	2	14531	2.99	2007-05-14 13:44:29.996577
570	1	12716	0.99	2007-05-14 13:44:29.996577
576	2	11942	5.98	2007-05-14 13:44:29.996577
576	1	13464	0.00	2007-05-14 13:44:29.996577
579	2	15794	0.99	2007-05-14 13:44:29.996577
582	2	12127	2.99	2007-05-14 13:44:29.996577
585	2	14604	4.99	2007-05-14 13:44:29.996577
587	1	12144	0.99	2007-05-14 13:44:29.996577
590	2	15458	2.99	2007-05-14 13:44:29.996577
592	2	14606	0.99	2007-05-14 13:44:29.996577
596	1	15423	0.99	2007-05-14 13:44:29.996577
597	1	11652	4.99	2007-05-14 13:44:29.996577
5	2	13209	0.99	2007-05-14 13:44:29.996577
9	1	15813	4.99	2007-05-14 13:44:29.996577
11	1	11646	0.99	2007-05-14 13:44:29.996577
14	1	13780	4.99	2007-05-14 13:44:29.996577
15	1	13798	3.98	2007-05-14 13:44:29.996577
15	2	13968	0.00	2007-05-14 13:44:29.996577
21	1	14933	2.99	2007-05-14 13:44:29.996577
22	1	12222	4.99	2007-05-14 13:44:29.996577
23	2	15532	2.99	2007-05-14 13:44:29.996577
28	2	12938	2.99	2007-05-14 13:44:29.996577
29	2	15577	0.99	2007-05-14 13:44:29.996577
33	1	12277	0.99	2007-05-14 13:44:29.996577
41	1	15875	2.99	2007-05-14 13:44:29.996577
42	1	13351	5.98	2007-05-14 13:44:29.996577
42	1	15407	0.00	2007-05-14 13:44:29.996577
43	2	15644	3.98	2007-05-14 13:44:29.996577
43	1	15745	0.00	2007-05-14 13:44:29.996577
44	2	13428	4.99	2007-05-14 13:44:29.996577
52	1	12001	4.99	2007-05-14 13:44:29.996577
53	2	11657	7.98	2007-05-14 13:44:29.996577
53	1	14137	0.00	2007-05-14 13:44:29.996577
